country,year,citizen_group,unmet_need_pc
HR,2014,NEU_FOR,1.2
HR,2015,EU_FOR,0.0
HR,2015,NAT,1.0
HR,2015,NEU_FOR,1.0
HR,2016,EU_FOR,0.0
HR,2016,NAT,1.1
HR,2016,NEU_FOR,0.0
HR,2017,EU_FOR,0.0
HR,2017,NAT,1.2
HR,2017,NEU_FOR,2.9
HR,2018,EU_FOR,0.0
HR,2018,NAT,1.2
HR,2018,NEU_FOR,0.9
HR,2019,EU_FOR,0.0
HR,2019,NAT,1.0
HR,2019,NEU_FOR,0.0
HR,2020,EU_FOR,1.8
HR,2020,NAT,1.0
HR,2020,NEU_FOR,1.0
HR,2021,EU_FOR,0.0
HR,2021,NAT,0.9
HR,2021,NEU_FOR,0.0
HR,2022,EU_FOR,0.0
HR,2022,NAT,0.6
HR,2022,NEU_FOR,0.0
HR,2023,EU_FOR,0.0
HR,2023,NAT,0.5
HR,2023,NEU_FOR,0.0
HR,2024,EU_FOR,0.0
HR,2024,NAT,0.5
HR,2024,NEU_FOR,3.0
HR,2025,EU_FOR,0.0
HR,2025,NAT,0.6
HR,2025,NEU_FOR,0.0
HU,2008,NAT,4.0
HU,2009,EU_FOR,2.3
HU,2009,NAT,3.5
HU,2009,NEU_FOR,10.4
HU,2010,EU_FOR,6.6
HU,2010,NAT,3.3
HU,2011,EU_FOR,1.8
HU,2011,NAT,4.6
HU,2011,NEU_FOR,2.0
HU,2012,EU_FOR,11.0
HU,2012,NAT,4.9
HU,2013,EU_FOR,6.9
HU,2013,NAT,4.5
HU,2013,NEU_FOR,0.0
HU,2014,EU_FOR,0.6
HU,2014,NAT,4.1
HU,2015,EU_FOR,19.8
HU,2015,NAT,4.0
HU,2016,EU_FOR,9.6
HU,2016,NAT,2.1
HU,2017,EU_FOR,4.4
HU,2017,NAT,1.8
HU,2017,NEU_FOR,0.0
HU,2018,EU_FOR,1.0
HU,2018,NAT,1.7
HU,2018,NEU_FOR,0.8
HU,2019,EU_FOR,0.0
HU,2019,NAT,1.6
HU,2020,NAT,1.1
HU,2021,EU_FOR,0.0
HU,2021,NAT,0.8
HU,2022,EU_FOR,6.3
HU,2022,NAT,1.1
HU,2023,EU_FOR,0.0
HU,2023,NAT,0.6
HU,2024,EU_FOR,0.0
HU,2024,NAT,0.6
HU,2025,EU_FOR,0.0
HU,2025,NAT,0.9
HU,2025,NEU_FOR,0.0
IE,2008,NAT,1.8
IE,2009,EU_FOR,2.9
IE,2009,NAT,2.2
IE,2009,NEU_FOR,4.8
IE,2010,EU_FOR,5.3
IE,2010,NAT,3.5
IE,2010,NEU_FOR,5.4
IE,2011,EU_FOR,6.8
IE,2011,NAT,5.0
IE,2011,NEU_FOR,6.2
IE,2012,EU_FOR,6.2
IE,2012,NAT,5.9
IE,2012,NEU_FOR,12.7
IE,2013,EU_FOR,8.8
IE,2013,NAT,5.6
IE,2013,NEU_FOR,5.8
IE,2014,EU_FOR,5.8
IE,2014,NAT,5.8
IE,2014,NEU_FOR,6.5
IE,2015,EU_FOR,4.4
IE,2015,NAT,5.0
IE,2015,NEU_FOR,5.6
IE,2016,EU_FOR,3.1
IE,2016,NAT,3.3
IE,2016,NEU_FOR,4.4
IE,2017,EU_FOR,3.1
IE,2017,NAT,3.2
IE,2017,NEU_FOR,5.2
IE,2018,EU_FOR,2.4
IE,2018,NAT,2.1
IE,2018,NEU_FOR,3.1
IE,2019,EU_FOR,2.5
IE,2019,NAT,2.3
IE,2019,NEU_FOR,5.2
IE,2020,EU_FOR,1.8
IE,2020,NAT,1.5
IE,2020,NEU_FOR,2.4
IE,2021,EU_FOR,3.2
IE,2021,NAT,0.9
IE,2021,NEU_FOR,1.1
IE,2022,EU_FOR,5.2
IE,2022,NAT,1.3
IE,2022,NEU_FOR,5.5
IE,2023,EU_FOR,4.5
IE,2023,NAT,1.7
IE,2023,NEU_FOR,1.7
IE,2024,EU_FOR,2.2
IE,2024,NAT,1.9
IE,2024,NEU_FOR,4.9
IE,2025,EU_FOR,2.5
IE,2025,NAT,1.5
IE,2025,NEU_FOR,1.3
IS,2008,NAT,5.8
IS,2009,EU_FOR,8.5
IS,2009,NAT,7.2
IS,2009,NEU_FOR,9.2
IS,2010,EU_FOR,16.1
IS,2010,NAT,9.4
IS,2010,NEU_FOR,14.9
IS,2011,EU_FOR,17.9
IS,2011,NAT,11.1
IS,2011,NEU_FOR,16.5
IS,2012,EU_FOR,10.8
IS,2012,NAT,10.0
IS,2012,NEU_FOR,16.9
IS,2013,EU_FOR,11.0
IS,2013,NAT,11.1
IS,2013,NEU_FOR,13.8
IS,2014,EU_FOR,12.6
IS,2014,NAT,10.6
IS,2014,NEU_FOR,6.9
IS,2015,EU_FOR,9.5
IS,2015,NAT,10.4
IS,2015,NEU_FOR,11.2
IS,2016,EU_FOR,2.1
IS,2016,NAT,8.3
IS,2016,NEU_FOR,4.2
IS,2017,EU_FOR,2.3
IS,2017,NAT,8.0
IS,2017,NEU_FOR,0.0
IS,2018,EU_FOR,6.1
IS,2018,NAT,7.8
IS,2018,NEU_FOR,9.1
IS,2019,EU_FOR,1.4
IS,2019,NAT,9.9
IS,2019,NEU_FOR,5.2
IS,2020,EU_FOR,11.2
IS,2020,NAT,8.2
