geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,physicians_per_100k,hospital_beds_per_100k,oop_health_expenditure_share_pc,gini_income,long_term_unemployment_rate_pc,log_gdp_per_capita,log_oop_health_expenditure_share,gdp_per_capita_eur_lag1,unemployment_rate_pc_lag1,poverty_or_social_exclusion_pc_lag1,physicians_per_100k_lag1,gdp_per_capita_growth,unemployment_rate_change,split
LU,2018,0.3,,98870.0,5.6,20.1,5.1,4.43,352.18,446.33,10.44,31.3,1.4,11.501561134891178,2.437115985951652,97440.0,5.5,19.3,334.42,0.014675697865353,0.0999999999999996,train
LV,2018,6.2,,14620.0,7.4,28.4,4.2,3.84,331.62,551.42,39.18,35.6,3.4,9.59014573330377,3.693369359386789,13400.0,8.7,28.5,324.22,0.0910447761194029,-1.299999999999999,train
MT,2018,0.2,,28240.0,4.0,19.2,4.9,5.15,390.49,423.56,34.3,28.7,1.9,10.248494691607178,3.563882963939251,26820.0,4.0,19.4,376.29,0.0529455630126771,0.0,train
NL,2018,0.2,,45690.0,4.9,16.5,7.2,8.09,366.15,317.5,10.79,27.4,1.2,10.729634734557315,2.4672517145492794,43830.0,5.9,16.6,357.19,0.0424366872005475,-1.0,train
NO,2018,1.4,,72510.0,4.0,15.8,7.0,8.54,445.18,351.28,13.97,24.8,1.3,11.191479762365638,2.706048198431537,69860.0,4.4,15.4,430.39,0.0379330088748926,-0.4000000000000003,train
PL,2018,4.2,,13280.0,3.9,18.2,4.7,4.47,235.78,653.73,20.42,27.8,1.0,9.494014423030425,3.064325065019603,12360.0,5.0,18.7,237.76,0.0744336569579288,-1.1,train
RO,2018,4.9,,10510.0,5.3,38.7,4.6,4.43,305.61,698.92,19.46,35.1,2.2,9.260082463870996,3.0184717605234805,9510.0,6.1,42.5,295.29,0.1051524710830704,-0.7999999999999998,train
SE,2018,1.5,,45770.0,6.5,17.7,7.2,9.4,429.88,212.18,14.22,27.0,0.9,10.731384133647689,2.72261035243354,47210.0,6.8,17.2,419.74,-0.0305020122855327,-0.2999999999999998,train
SI,2018,3.3,,21940.0,5.1,15.4,6.6,6.08,316.74,441.3,11.98,23.4,2.2,9.99606673382922,2.563409711275944,20630.0,6.6,16.6,307.94,0.0634997576345128,-1.5,train
AT,2019,0.3,,44570.0,4.8,16.5,8.4,7.91,529.14,718.9,18.76,27.5,1.4,10.704816265940602,2.983659692319722,43360.0,5.2,16.8,520.56,0.0279059040590405,-0.4000000000000003,valid
BE,2019,1.8,b,41730.0,5.5,20.1,7.5,8.08,316.33,556.72,20.6,25.1,2.1,10.6389755735856,3.0726933146901194,40210.0,6.0,20.5,312.18,0.0378015419049987,-0.5,valid
BG,2019,1.4,,9250.0,5.2,33.2,4.6,4.32,446.58,816.07,37.8,40.8,3.0,9.132378830506472,3.658420246629228,8340.0,6.2,33.0,444.54,0.1091127098321343,-1.0,valid
CH,2019,0.7,,76680.0,4.4,19.3,2.1,7.57,434.97,459.34,21.84,30.6,1.5,11.24739619715958,3.128513384787809,73630.0,4.7,17.8,432.32,0.0414233328806193,-0.2999999999999998,valid
CY,2019,1.0,,26110.0,7.2,18.9,3.5,3.79,420.39,306.48,33.73,31.5,2.2,10.170073661693175,3.5476038667559826,24660.0,8.4,19.1,398.12,0.0587996755879967,-1.2000000000000002,valid
CZ,2019,0.5,,21740.0,2.0,12.1,7.4,6.36,406.67,662.59,14.31,24.0,0.6,9.9869091606752,2.728506209669592,20270.0,2.2,11.8,403.0,0.0725209669462259,-0.2000000000000001,valid
DE,2019,0.3,,43030.0,2.9,17.3,7.2,9.67,439.39,791.48,12.38,29.7,1.2,10.669652825832646,2.5937610547000824,41800.0,3.2,18.5,430.5,0.0294258373205741,-0.3000000000000002,valid
DK,2019,1.8,,53040.0,5.0,17.3,8.7,8.53,425.13,248.97,13.79,27.5,0.8,10.878801624859744,2.6939512767227085,51950.0,5.1,17.5,418.66,0.0209817131857555,-0.0999999999999996,valid
EE,2019,15.5,,21490.0,4.5,23.7,5.5,4.95,346.9,453.01,23.92,30.5,0.9,9.975342989636555,3.2156706939192525,20040.0,5.4,23.6,347.59,0.0723552894211576,-0.9000000000000004,valid
ES,2019,0.2,,26620.0,14.1,26.2,6.1,6.4,440.52,294.71,23.85,33.0,5.3,10.189418091949102,3.2128577525426376,25950.0,15.3,27.3,401.04,0.0258188824662813,-1.200000000000001,valid
FI,2019,4.6,,43200.0,6.8,14.5,7.2,7.18,281.55,339.29,17.42,26.2,1.5,10.673595774232204,2.913437030827161,42040.0,7.5,16.6,277.62,0.027592768791627,-0.7000000000000002,valid
FR,2019,1.2,,36090.0,8.4,18.8,8.1,9.26,316.38,579.83,10.32,29.2,2.3,10.493771097636834,2.4265710727750367,35080.0,9.0,17.9,312.9,0.0287913340935005,-0.5999999999999996,valid
HR,2019,1.4,,14130.0,6.6,20.8,7.3,5.56,362.23,583.13,11.46,29.2,2.4,9.556055475678573,2.522523513359307,13310.0,8.3,22.1,354.65,0.0616078136739293,-1.700000000000001,valid
HU,2019,1.0,b,15200.0,3.3,21.1,4.5,4.29,352.12,696.19,27.79,26.8,1.1,9.629050706834368,3.3600281046240843,14070.0,3.6,20.6,341.0,0.0803127221037668,-0.3000000000000002,valid
IE,2019,2.0,b,73230.0,5.0,20.2,4.8,4.89,328.87,285.6,12.66,28.0,1.6,11.201360452055116,2.614471854142644,68530.0,5.8,20.8,323.1,0.0685831022909674,-0.7999999999999998,valid
IT,2019,1.8,,30200.0,9.9,24.6,6.7,6.31,405.07,316.28,23.87,32.8,5.9,10.31559720336296,3.2136622578153133,29690.0,10.6,25.7,401.73,0.0171775008420343,-0.6999999999999993,valid
LT,2019,1.4,,17520.0,6.3,25.5,5.0,4.61,454.2,630.82,32.27,35.4,1.9,9.771098364490385,3.5046560900303856,16300.0,6.2,28.5,458.04,0.0748466257668711,0.0999999999999996,valid
LU,2019,0.2,,100420.0,5.6,20.1,5.2,4.64,363.23,426.45,9.59,32.3,1.3,11.517116669588695,2.359910159613315,98870.0,5.6,20.1,352.18,0.0156771518155153,0.0,valid
LV,2019,4.3,,15450.0,6.3,26.7,4.3,4.13,326.73,542.32,35.11,35.2,2.7,9.645364282325891,3.5865698352893665,14620.0,7.4,28.4,331.62,0.0567715458276333,-1.1000000000000003,valid
