geo,year,unmet_need_pc,log_gdp_per_capita,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,lag1_unmet_need_pc,lag1_log_gdp_per_capita,lag1_unemployment_rate_pc,lag1_poverty_or_social_exclusion_pc,lag1_government_health_expenditure_gdp_pc,lag1_compulsory_health_financing_gdp_pc,time_split
AT,2021,0.3,10.722826758333833,6.2,17.3,10.1,9.47,0.1,10.660782552919825,6.0,16.7,9.2,8.72,test
BE,2021,1.7,10.684645610418787,6.3,19.0,8.4,8.48,1.5,10.601373487443247,5.8,20.3,8.6,8.72,test
BG,2021,1.0,9.302007560502007,5.2,31.7,5.8,5.58,1.4,9.152711259139547,6.1,33.5,5.8,5.33,test
CH,2021,0.5,11.309707082463287,5.1,17.6,2.7,7.95,0.5,11.247787356953342,4.8,18.5,2.5,8.18,test
CY,2021,0.2,10.23458824535543,7.2,17.3,6.5,7.01,0.4,10.111720491114584,7.6,18.2,5.8,6.19,test
CZ,2021,0.3,10.06177253150184,2.8,10.7,9.5,7.94,0.4,9.951324881950288,2.6,11.5,9.2,7.92,test
DE,2021,0.1,10.712415766081785,3.6,21.0,8.5,10.91,0.1,10.645900974398993,3.6,20.4,8.3,10.69,test
DK,2021,1.3,10.979172336560532,5.1,17.3,9.4,9.06,1.7,10.888184317074344,5.6,16.8,9.3,9.02,test
EE,2021,8.1,10.07111839392008,6.2,22.2,6.5,5.69,13.0,9.950371138434978,6.9,22.8,6.5,5.76,test
EL,2021,6.4,9.761347785375005,14.7,28.3,6.6,5.61,6.5,9.658864969544794,17.6,27.4,6.6,5.8,test
ES,2021,1.1,10.169307378130776,14.9,27.8,7.2,7.51,0.4,10.079539496316489,15.5,27.0,7.6,7.78,test
FI,2021,4.4,10.711970331775978,7.7,14.2,7.8,7.84,5.4,10.662890528873138,7.7,14.9,7.7,7.67,test
FR,2021,2.8,10.516508688616788,7.9,19.0,9.4,10.36,2.7,10.442317372711717,8.0,19.0,9.0,10.22,test
HR,2021,1.7,9.620461291620542,7.5,20.9,8.4,6.91,1.5,9.471164990258082,7.4,20.5,8.7,6.47,test
HU,2021,1.1,9.685953239986429,4.0,19.6,5.9,5.31,0.7,9.57289797907307,4.1,19.4,6.3,5.12,test
IE,2021,2.1,11.385887231799504,6.2,19.6,5.1,4.95,1.8,11.236117389070326,5.9,19.1,5.6,5.42,test
IT,2021,1.8,10.346890499984683,9.5,25.2,7.4,6.92,1.8,10.31559720336296,9.9,24.6,6.7,6.31,test
LT,2021,2.4,9.912942711306885,7.1,23.5,5.8,5.32,1.7,9.791997176502765,8.5,24.5,5.9,5.2,test
LU,2021,1.0,11.643251726645802,5.3,21.1,5.4,4.83,0.1,11.534589104606257,6.8,19.9,5.8,4.99,test
LV,2021,4.0,9.748586591318166,7.6,26.1,6.5,6.54,5.3,9.640172836532642,8.1,25.1,4.8,4.77,test
MT,2021,0.1,10.379411124292854,3.8,20.3,6.1,6.42,0.0,10.235306120475991,4.9,19.9,6.6,6.57,test
NL,2021,0.2,10.836635401476704,4.2,16.6,8.3,9.33,0.2,10.753852134294116,4.9,16.0,8.1,9.3,test
NO,2021,0.8,11.308603667896609,4.4,16.7,7.3,8.43,0.9,11.04132055435752,4.7,16.3,8.2,9.82,test
PL,2021,2.7,9.665864679957084,3.4,16.8,5.7,4.61,1.9,9.568713872550497,3.2,17.0,5.3,4.64,test
PT,2021,2.3,9.94270826568941,6.7,22.4,7.6,7.02,1.6,9.870964360830568,7.1,20.0,7.4,6.76,test
RO,2021,4.4,9.440658127038391,5.6,34.4,5.5,5.08,4.7,9.340491056441229,6.1,35.6,5.5,5.01,test
SE,2021,1.3,10.844665999918062,8.9,17.2,7.5,9.72,1.5,10.740302082908489,8.5,17.7,7.5,9.85,test
SI,2021,4.8,10.114153582339226,4.8,13.2,8.3,7.03,2.7,10.009198006958242,5.0,14.3,8.0,6.94,test
SK,2021,2.9,9.837881795438134,6.8,15.6,6.5,6.09,3.2,9.756726171140723,6.7,13.8,6.4,5.67,test
AT,2022,0.5,10.812552239318544,4.8,17.5,9.4,8.64,0.3,10.722826758333833,6.2,17.3,10.1,9.47,test
BE,2022,1.0,10.780829534271708,5.6,18.6,7.8,7.96,1.7,10.684645610418787,6.3,19.0,8.4,8.48,test
BG,2022,1.0,9.496270911389155,4.2,32.2,5.5,4.85,1.0,9.302007560502007,5.2,31.7,5.8,5.58,test
CH,2022,0.8,11.439278924801927,4.1,18.7,2.2,7.65,0.5,11.309707082463287,5.1,17.6,2.7,7.95,test
CY,2022,0.2,10.35964577495981,6.3,17.5,5.9,6.31,0.2,10.23458824535543,7.2,17.3,6.5,7.01,test
CZ,2022,0.2,10.19129461717606,2.2,11.8,8.8,7.2,0.3,10.06177253150184,2.8,10.7,9.5,7.94,test
DE,2022,0.3,10.786014654257476,3.1,21.1,8.3,10.7,0.1,10.712415766081785,3.6,21.0,8.5,10.91,test
DK,2022,2.1,11.073334642132687,4.5,17.1,8.3,8.04,1.3,10.979172336560532,5.1,17.3,9.4,9.06,test
EE,2022,9.1,10.213175705250524,5.6,25.2,5.9,5.21,8.1,10.07111839392008,6.2,22.2,6.5,5.69,test
EL,2022,9.0,9.88175306039012,12.5,26.3,6.2,5.26,6.4,9.761347785375005,14.7,28.3,6.6,5.61,test
ES,2022,1.2,10.267783383606222,13.0,26.0,6.8,7.05,1.1,10.169307378130776,14.9,27.8,7.2,7.51,test
FI,2022,6.5,10.776661993336656,6.8,16.3,7.5,7.75,4.4,10.711970331775978,7.7,14.2,7.8,7.84,test
FR,2022,3.2,10.56926353629994,7.3,20.7,9.1,10.0,2.8,10.516508688616788,7.9,19.0,9.4,10.36,test
HR,2022,1.3,9.772239265926174,6.8,19.9,7.8,6.23,1.7,9.620461291620542,7.5,20.9,8.4,6.91,test
HU,2022,1.4,9.772809228894012,3.6,18.8,5.1,4.87,1.1,9.685953239986429,4.0,19.6,5.9,5.31,test
IE,2022,2.7,11.514324485883936,4.5,19.6,4.7,4.61,2.1,11.385887231799504,6.2,19.6,5.1,4.95,test
